business_id;rating;num_rating;types;price_level
dwoqTu3q0D_T2UfT7cgHqw;4.7;54;restaurant|food|point_of_interest|establishment;
ZgqZAKHXZi5HoCRYcTh9Gw;3.745484949832776;1495;cafe|restaurant|food|point_of_interest|store|establishment;1
L3u4I6wHtwMQJ-ZtvfrkkQ;3.3;599;cafe|restaurant|food|point_of_interest|store|establishment;1
K51bVqlGcpTMDK3-SDkBeQ;4;1312;cafe|bakery|meal_takeaway|restaurant|food|point_of_interest|store|establishment;2
dcpWZ6Yk_S0HqTlNBi8jiA;4.5;583;cafe|food|point_of_interest|store|establishment;2
CPFKi2lZJazP6IdtCdDDyg;4.6;817;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;2
Wndkw2PinAwTgjeUJOTdCg;4.7;344;cafe|food|point_of_interest|store|establishment;2
4oI4ikLPM6yDyw0QUrv53Q;4.1;199;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
x1zvE33a3y4lSKnbCsaAUA;3.5;204;cafe|food|point_of_interest|store|establishment;2
hdVqM-QngiiLRaMOvwXglQ;4.5;108;cafe|food|point_of_interest|establishment;
M1t2pqGZmSIygY4880a_lQ;3.5;592;cafe|restaurant|food|point_of_interest|store|establishment;1
aG8XkIE_TMkr_QKSfaFBBg;5;1;cafe|food|point_of_interest|establishment;
ByEfpxv69HFqBYU3_r7HtA;4.9;136;cafe|food|point_of_interest|store|establishment;
qVVz1sRZVNH2xt865M64Dg;3.3;308;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
1feuZITxuTrl9mr7V11kwQ;4.6;286;food|point_of_interest|store|establishment;2
cljHYek6vHtqUgUsnJBqmA;5;1;bar|point_of_interest|establishment;
uGqgf0SNirwrezTrv3GLJQ;4.9;171;point_of_interest|establishment;
71q2UD1A7KL2q4AA8mPobQ;4.4;197;food|point_of_interest|establishment;1
H3p3b8nbB3OtIfQyQGKDkg;4.5;466;bakery|food|point_of_interest|store|establishment;2
sD2yBIzp0SNYRMD4QfH9Jw;4.2;59;cafe|restaurant|food|point_of_interest|store|establishment;2
9XpU6r6ATXSWYfbU7kibaQ;4.4;45;cafe|restaurant|food|point_of_interest|store|establishment;1
g-0-_hPz-yr_f4gBFbX2Ow;4.4;446;restaurant|food|point_of_interest|establishment;1
Zm3X8i9GsYaxdWHlI-WQwg;4.7;48;cafe|food|point_of_interest|store|establishment;
